"region","ålder","kön","2019"
"00 Riket","0-4 år","män",309567
"00 Riket","0-4 år","kvinnor",292151
"00 Riket","5-9 år","män",320985
"00 Riket","5-9 år","kvinnor",303099
"00 Riket","10-14 år","män",313352
"00 Riket","10-14 år","kvinnor",295667
"00 Riket","15-19 år","män",296072
"00 Riket","15-19 år","kvinnor",272837
"00 Riket","20-24 år","män",310624
"00 Riket","20-24 år","kvinnor",277075
"00 Riket","25-29 år","män",379985
"00 Riket","25-29 år","kvinnor",359711
"00 Riket","30-34 år","män",367181
"00 Riket","30-34 år","kvinnor",348710
"00 Riket","35-39 år","män",333895
"00 Riket","35-39 år","kvinnor",316703
"00 Riket","40-44 år","män",321942
"00 Riket","40-44 år","kvinnor",309321
"00 Riket","45-49 år","män",338208
"00 Riket","45-49 år","kvinnor",328884
"00 Riket","50-54 år","män",344164
"00 Riket","50-54 år","kvinnor",333591
"00 Riket","55-59 år","män",313351
"00 Riket","55-59 år","kvinnor",306757
"00 Riket","60-64 år","män",284848
"00 Riket","60-64 år","kvinnor",283542
"00 Riket","65-69 år","män",267106
"00 Riket","65-69 år","kvinnor",272942
"00 Riket","70-74 år","män",273394
"00 Riket","70-74 år","kvinnor",287021
"00 Riket","75-79 år","män",205253
"00 Riket","75-79 år","kvinnor",223345
"00 Riket","80-84 år","män",121578
"00 Riket","80-84 år","kvinnor",151472
"00 Riket","85-89 år","män",63989
"00 Riket","85-89 år","kvinnor",99640
"00 Riket","90-94 år","män",24740
"00 Riket","90-94 år","kvinnor",51904
"00 Riket","95-99 år","män",5205
"00 Riket","95-99 år","kvinnor",15571
"00 Riket","100+ år","män",375
"00 Riket","100+ år","kvinnor",1832
